fold,test_rmse,test_score
0,12.636577606201172,381.2898864746094
1,13.216154098510742,415.1637268066406
2,13.260419845581055,491.35089111328125
3,12.788372993469238,290.6575622558594
4,12.649955749511719,338.66766357421875
