variant,subset,d_model,n_heads,n_layers,epochs_used,test_rmse,test_score,params,size_mb,flops,inference_ms
student_d16_h1_l1_gru_default,FD004,16,1,1,150,15.072851181030273,1547.932373046875,8945,0.0341,226608.0,1.9133
student_d16_h1_l1_nogru,FD004,16,1,1,150,15.067070007324219,1468.34716796875,3745,0.0143,75496.0,1.4655
student_d8_h1_l1_gru,FD004,8,1,1,150,16.07400131225586,1484.722900390625,2969,0.0113,78616.0,1.505
student_d8_h1_l1_nogru,FD004,8,1,1,150,15.579477310180664,1657.435791015625,1657,0.0063,37752.0,1.4111
student_d24_h1_l1_gru,FD004,24,1,1,150,15.647252082824707,1677.56640625,12249,0.0467,287328.0,1.7756
student_d24_h1_l1_nogru,FD004,24,1,1,150,15.136301040649414,1497.5172119140625,6449,0.0246,113340.0,1.4792
student_d32_h2_l1_gru,FD004,32,2,1,150,15.093733787536621,1632.01123046875,16065,0.0613,348048.0,1.5308
student_d32_h2_l1_nogru,FD004,32,2,1,150,15.383122444152832,1412.97802734375,9729,0.0371,151248.0,1.2351
student_d32_h2_l2_gru,FD004,32,2,2,150,15.261831283569336,1790.5189208984375,24609,0.0939,478608.0,1.3267
student_d32_h2_l2_nogru,FD004,32,2,2,150,15.777800559997559,1896.07080078125,18273,0.0697,281808.0,1.0788
student_d64_h4_l2_gru,FD004,64,4,2,150,14.932948112487793,1502.9342041015625,78785,0.3005,1326880.0,1.3801
student_d64_h4_l2_nogru,FD004,64,4,2,150,15.42609977722168,1518.601806640625,53825,0.2053,564640.0,1.0619
