fold,test_rmse,test_score
0,13.221781730651855,406.741455078125
1,13.402578353881836,409.77685546875
2,13.363590240478516,490.04290771484375
3,12.49901008605957,360.98077392578125
4,13.051090240478516,405.8878479003906
