model,subset,rmse,score,params,size_mb,flops,inference_ms
Teacher (Transformer),FD002,12.687647819519043,714.9883422851562,27041,0.1032,837648.0,2.2431
Student (Distilled),FD002,12.068094253540039,656.7591552734375,9057,0.0345,459408.0,1.1742
Student (No KD),FD002,12.911152839660645,730.550537109375,9057,0.0345,459408.0,1.5944
LSTM Baseline,FD002,12.113887786865234,712.5426025390625,153729,0.5864,8855616.0,0.6497










Teacher (Ensemble x3),FD002,12.438570022583008,694.32080078125,81123,0.3095,2512944.0,6.0457
Student (Ensemble x3),FD002,12.356383323669434,632.4666137695312,27171,0.1036,1378224.0,4.7046
