subset,model,mean_test_rmse,std_test_rmse,mean_test_score,std_test_score,n_folds

FD001,teacher,15.128654479980469,0.9264707149435023,447.70936889648436,72.62747380486769,5
FD001,student,13.537027359008789,0.14802919616399718,315.23882446289065,12.446864446567421,5
FD001,student_no_kd,13.310487174987793,0.3719760182472454,343.4941711425781,61.05338801172099,5

FD002,teacher,14.2399169921875,0.540764440973387,1148.9030883789062,200.16256652503748,5
FD002,student,13.181826400756837,0.2452957331148721,795.6623168945313,54.63319957500365,5
FD002,student_no_kd,13.404365348815919,0.15037154258847368,859.4609619140625,88.61492602945718,5

FD003,teacher,13.616168022155762,0.613594684108033,457.58746337890625,71.57686420580778,5
FD003,student,13.107610130310059,0.36713612456819694,414.68596801757815,46.71064606284514,5
FD003,student_no_kd,12.910296058654785,0.30565499681776326,383.4259460449219,76.27076787134321,5

FD004,teacher,15.872208976745606,0.3944855034458544,1648.34189453125,214.70131645133222,5
FD004,student,15.456159591674805,0.4079225422719952,1764.996923828125,193.3353984962095,5
FD004,student_no_kd,15.536522483825683,0.3124058232321717,1606.879541015625,77.21127147082215,5
