fold,test_rmse,test_score
0,14.62828540802002,416.2503356933594
1,13.691054344177246,464.4028625488281
2,13.413668632507324,531.9534912109375
3,13.025888442993164,358.88177490234375
4,13.321943283081055,516.4488525390625
