fold,test_rmse,test_score
0,15.844801902770996,1886.078125
1,15.59035587310791,1707.7462158203125
2,15.628073692321777,1756.47216796875
3,15.742977142333984,1322.165283203125
4,16.55483627319336,1569.2476806640625
