variant,subset,d_model,n_heads,n_layers,d_ff,use_gru_head,epochs_used,test_rmse,test_score,baseline_rmse,beats_baseline,params,size_mb,flops,inference_ms
teacher_d128_h8_l4_default,FD004,128,8,4,512,False,150,15.097516059875488,1400.3614501953125,15.350690841674805,True,803969,3.0669,15940416.0,2.6916
teacher_d64_h4_l2,FD004,64,4,2,256,False,150,15.675517082214355,1746.725830078125,15.350690841674805,False,103361,0.3943,2039200.0,1.6614
teacher_d64_h4_l3,FD004,64,4,3,256,False,150,16.735326766967773,1792.105224609375,15.350690841674805,False,153345,0.585,3037600.0,1.5937
teacher_d96_h6_l3,FD004,96,6,3,384,False,150,15.894192695617676,1590.8167724609375,15.350690841674805,False,342145,1.3052,6769776.0,1.565
teacher_d128_h8_l2,FD004,128,8,2,512,False,150,15.76210880279541,1970.485107421875,15.350690841674805,False,407425,1.5542,8014656.0,1.4131
teacher_gru_hybrid_d128_h8_l4,FD004,128,8,4,512,True,150,16.52228355407715,1460.003173828125,15.350690841674805,False,903041,3.4448,18939456.0,3.1832
